sepal_length sepal_width petal_length petal_width Class
5.1 NaN 1.4 0.2 Iris-setosa
4.9 NaN 1.4 0.2 Iris-setosa
4.7 3.2 1.3 0.2 Iris-setosa
4.6 3.1 1.5 0.2 Iris-setosa
5.0 3.6 1.4 0.2 Iris-setosa
5.4 3.9 1.2747551921773217 0.1730166555093918 Iris-setosa
4.6 3.4 1.4 0.15878029865281057 Iris-setosa
5.0 3.4 1.5 0.2 Iris-setosa
5.60273397363195 3.1281042887091286 1.4 0.2 Iris-setosa
5.469663102464222 3.1 1.5 0.1 Iris-setosa
5.4 3.7 1.5 0.15143818975703058 Iris-setosa
5.562954547940192 3.4 1.6 0.2 Iris-setosa
4.8 2.7530831251426404 1.4 0.1 Iris-setosa
4.3 3.0 1.1 0.1 Iris-setosa
5.8 4.0 1.2 0.2 Iris-setosa
5.7 4.4 1.356018675000207 0.4 Iris-setosa
5.4 3.9 1.3 0.4 Iris-setosa
5.1 3.5969548788004277 1.4 0.3 Iris-setosa
5.7 3.8 1.7 0.3 Iris-setosa
5.1 3.8 1.5 0.13604975801627178 Iris-setosa
5.4 3.4 1.7 0.2 Iris-setosa
5.1 3.5435116682130205 1.5 0.4 Iris-setosa
4.6 3.6 1.0 0.2 Iris-setosa
5.1 3.3 1.7 0.5 Iris-setosa
4.8 3.4 1.9 0.3953620319194397 Iris-setosa
5.0 3.0 1.6 0.2 Iris-setosa
5.0 3.4 1.6 0.4 Iris-setosa
5.2 3.5 1.5 0.2 Iris-setosa
5.2 3.4 1.4 0.2 Iris-setosa
4.7 3.2 1.5401464733786658 0.2 Iris-setosa
5.061460413425464 3.1 1.6 0.2 Iris-setosa
5.4 3.4 1.5 0.22758931682658828 Iris-setosa
5.2 4.1 1.5 0.22359256252623638 Iris-setosa
5.5 4.2 1.4 0.2 Iris-setosa
4.9 3.1 1.5 0.18913250477228502 Iris-setosa
5.0 3.2 1.2 0.2 Iris-setosa
5.5 3.5 1.3 0.2171762427646937 Iris-setosa
4.9 3.1 1.5 0.2186429380847349 Iris-setosa
4.4 3.0 1.3 0.2 Iris-setosa
5.1 3.4 1.5 0.2 Iris-setosa
5.0 2.648591520167332 1.5192058584534716 0.3 Iris-setosa
4.5 2.3 1.3 0.5159643566709676 Iris-setosa
4.4 3.2 1.3 0.6758116238780001 Iris-setosa
5.0 3.5 1.6 0.6 Iris-setosa
5.1 3.8 1.9 0.4 Iris-setosa
4.8 3.0 1.4 0.3 Iris-setosa
5.1 3.8 1.6 0.2 Iris-setosa
4.6 3.2 1.4 0.2 Iris-setosa
5.3 3.7 2.3019723564879406 0.2 Iris-setosa
5.0 3.3 4.117823747866959 0.647267021566173 Iris-setosa
4.877649523772766 3.2 4.7 1.4 Iris-versicolor
6.4 3.2 4.5 1.7695518801345944 Iris-versicolor
6.9 3.1 4.9 1.5 Iris-versicolor
5.5 2.3 4.0 1.3 Iris-versicolor
6.5 2.8 4.6 1.5 Iris-versicolor
5.7 2.8 4.5 1.3 Iris-versicolor
6.3 2.3478005197120995 4.7 1.6 Iris-versicolor
4.9 2.4 3.3 1.0 Iris-versicolor
6.6 2.9 4.6 1.3 Iris-versicolor
5.2 2.7 3.9 1.4 Iris-versicolor
5.0 2.0 3.5 1.6185192333339145 Iris-versicolor
5.9 3.0 4.2 1.5 Iris-versicolor
6.0 2.2 4.0 1.0 Iris-versicolor
6.1 2.9 4.7 1.4 Iris-versicolor
6.818222974697268 2.9 3.6 1.3 Iris-versicolor
6.7 3.1 4.4 1.4 Iris-versicolor
5.6 3.0 4.596966462975952 1.5 Iris-versicolor
5.8 2.7 4.1 1.0 Iris-versicolor
6.2 2.2 4.5 1.5 Iris-versicolor
5.6 2.5 3.9 1.1 Iris-versicolor
5.9 3.2 3.332759002495709 1.8 Iris-versicolor
6.1 2.8 4.0 1.3 Iris-versicolor
6.035821905846809 2.5 4.9 1.5 Iris-versicolor
6.1 2.8 4.7 1.2 Iris-versicolor
6.288075297534787 2.9 4.3 1.3 Iris-versicolor
6.6 3.0 4.4 1.4 Iris-versicolor
6.8 2.8 4.8 1.4 Iris-versicolor
6.496960408667994 3.0 5.0 1.7 Iris-versicolor
6.0 2.9 4.5 1.5 Iris-versicolor
5.7 2.6 3.5 1.0 Iris-versicolor
5.5 2.4 3.8 1.1 Iris-versicolor
5.5 2.4 3.7 1.0 Iris-versicolor
5.8 2.5644197499261527 3.9 1.2 Iris-versicolor
6.0 2.7 5.1 1.6 Iris-versicolor
5.4 3.0 5.100789696580334 1.5 Iris-versicolor
6.0 3.5751502907917323 4.5 1.6 Iris-versicolor
6.7 3.1 4.7 1.5 Iris-versicolor
6.3 2.3 4.624590007281682 1.3 Iris-versicolor
5.6 3.0 4.1 1.3 Iris-versicolor
5.5 2.5 4.0 1.3 Iris-versicolor
5.5 2.6 4.4 1.2 Iris-versicolor
6.1 2.9497622163117683 4.6 1.4 Iris-versicolor
5.8 2.6 4.0 1.2 Iris-versicolor
5.0 2.3 3.3 1.0 Iris-versicolor
5.6 2.7 4.2 1.0501110447717188 Iris-versicolor
5.9024152630389395 3.0 4.2 1.2 Iris-versicolor
5.7 3.17344227389168 4.2 1.3 Iris-versicolor
6.2918227088033944 2.9 4.3 1.3 Iris-versicolor
7.377028959469583 2.5 3.0 1.1 Iris-versicolor
7.551794033491704 3.085324773180262 4.1 1.3 Iris-versicolor
6.3 3.3 6.0 2.5 Iris-virginica
5.8 2.7 5.1 1.9 Iris-virginica
7.1 3.0 5.9 2.1 Iris-virginica
6.3 2.9 5.6 1.8 Iris-virginica
6.5 3.0 5.8 2.2 Iris-virginica
7.6 3.0 6.6 2.1 Iris-virginica
8.023169223450106 2.5 6.734468278187542 1.7 Iris-virginica
7.3 2.9 6.3 1.8 Iris-virginica
6.7 2.5 5.8 1.8 Iris-virginica
7.2 3.6 5.360341415298544 1.8621534088165284 Iris-virginica
6.5 3.2 5.145636391286068 2.0 Iris-virginica
6.4 2.7 5.3 2.0033153612206362 Iris-virginica
6.8 3.0 5.5 2.1 Iris-virginica
5.7 2.5 5.266450042937773 2.3981785897520185 Iris-virginica
5.8 2.8 5.1 2.4 Iris-virginica
6.4 2.7004932276110627 5.3 1.9376221577346564 Iris-virginica
6.5 3.0 5.5556573665519755 1.8 Iris-virginica
7.7 3.8 6.7 2.2 Iris-virginica
7.7 2.6 6.9 2.3 Iris-virginica
6.0 2.2 5.0 2.3095449384409963 Iris-virginica
6.9 3.2 5.7 2.3 Iris-virginica
5.6 2.8 4.9 2.0 Iris-virginica
7.7 2.8 6.7 1.6367122045053544 Iris-virginica
6.3 2.7 4.9 1.8 Iris-virginica
6.083414569962236 3.3 5.7 2.1 Iris-virginica
7.2 3.2 6.0 1.8 Iris-virginica
6.2 2.8 4.982801377476793 1.8 Iris-virginica
6.1 2.5194184426131603 4.9 1.8 Iris-virginica
6.4 2.8 5.6 2.1 Iris-virginica
7.2 3.0 5.8 1.6 Iris-virginica
7.4 2.8 6.1 1.9 Iris-virginica
7.9 3.8 6.4 2.0 Iris-virginica
6.4 2.8 5.6 2.2 Iris-virginica
6.3 2.8 5.042128369768252 1.5 Iris-virginica
6.1 2.6 5.6 1.4 Iris-virginica
7.7 2.423408532539386 6.1 2.3 Iris-virginica
6.3 2.8441111135427093 5.6 2.4 Iris-virginica
6.4 3.1 5.5 1.8 Iris-virginica
6.0 3.0 5.390676722120662 1.8 Iris-virginica
6.9 3.1 5.4 2.1 Iris-virginica
6.7 3.1 5.6 2.4 Iris-virginica
6.9 3.1 5.1 2.3 Iris-virginica
5.8 2.7 5.1 1.9 Iris-virginica
6.8 3.2 5.9 2.3 Iris-virginica
6.7 3.562221590418881 5.7 2.5 Iris-virginica
6.7 3.0 5.2 2.3 Iris-virginica
6.3 2.5 5.0 2.0755494337228964 Iris-virginica
6.5 3.0 5.2 2.0 Iris-virginica
6.2 3.4 5.4 2.3 Iris-virginica
5.9 3.0 NaN NaN Iris-virginica
